Date,RY_15y,15s-20s
01/28/2022,-2.575,9.407
01/27/2022,-2.566,9.235
01/26/2022,-2.540,9.365
01/25/2022,-2.607,9.470
01/24/2022,-2.624,9.402
01/21/2022,-2.515,9.265
01/20/2022,-2.477,8.173
01/19/2022,-2.468,9.009
01/18/2022,-2.515,9.373
01/17/2022,-2.521,8.616
01/14/2022,-2.550,8.234
01/13/2022,-2.578,7.754
01/12/2022,-2.541,7.249
01/11/2022,-2.494,6.634
01/10/2022,-2.427,6.829
01/07/2022,-2.439,7.982
01/06/2022,-2.468,8.182
01/05/2022,-2.568,8.946
01/04/2022,-2.570,9.413
12/31/2021,-2.599,10.327
12/30/2021,-2.592,11.544
12/29/2021,-2.577,11.092
12/24/2021,-2.658,12.295
12/23/2021,-2.632,12.005
12/22/2021,-2.704,14.672
12/21/2021,-2.738,15.730
12/20/2021,-2.778,14.784
12/17/2021,-2.772,14.276
12/16/2021,-2.761,14.227
12/15/2021,-2.777,16.532
12/14/2021,-2.829,16.113
12/13/2021,-2.934,16.284
12/10/2021,-2.956,15.229
12/09/2021,-2.960,18.363
12/08/2021,-2.945,17.225
12/07/2021,-2.980,16.213
12/06/2021,-2.961,15.258
12/03/2021,-2.961,14.777
12/02/2021,-2.952,14.858
12/01/2021,-2.932,13.475
11/30/2021,-2.937,14.372
11/29/2021,-2.899,13.664
11/26/2021,-2.899,13.753
11/25/2021,-2.799,13.149
11/24/2021,-2.749,11.867
11/23/2021,-2.774,10.726
11/22/2021,-2.760,10.528
11/19/2021,-2.813,10.120
11/18/2021,-2.809,11.423
11/17/2021,-2.720,10.618
11/16/2021,-2.729,9.958
11/15/2021,-2.765,8.940
11/12/2021,-2.763,10.198
11/11/2021,-2.713,10.816
11/10/2021,-2.774,11.613
11/09/2021,-2.868,12.203
11/08/2021,-2.802,11.402
11/05/2021,-2.789,10.210
11/04/2021,-2.679,9.819
11/03/2021,-2.621,7.409
11/02/2021,-2.682,8.029
11/01/2021,-2.607,8.387
10/29/2021,-2.599,6.642
10/28/2021,-2.736,6.780
10/27/2021,-2.736,8.360
10/26/2021,-2.651,9.812
10/25/2021,-2.682,10.906
10/22/2021,-2.652,7.928
10/21/2021,-2.608,7.461
10/20/2021,-2.581,6.948
10/19/2021,-2.557,5.993
10/18/2021,-2.565,6.373
10/15/2021,-2.609,9.030
10/14/2021,-2.633,8.710
10/13/2021,-2.561,7.740
10/12/2021,-2.473,7.945
